Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,2,Afghanistan,5510,Production,211,"Pulses, nes",2014,2014,tonnes,60000.0,F,FAO estimate
QC,Crops,2,Afghanistan,5312,Area harvested,27,"Rice, paddy",2014,2014,ha,220000.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,27,"Rice, paddy",2014,2014,tonnes,537000.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,328,Seed cotton,2014,2014,ha,35000.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,328,Seed cotton,2014,2014,tonnes,42829.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,289,Sesame seed,2014,2014,ha,47244.0,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5510,Production,289,Sesame seed,2014,2014,tonnes,31979.0,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5312,Area harvested,157,Sugar beet,2014,2014,ha,980.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,157,Sugar beet,2014,2014,tonnes,11330.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,156,Sugar cane,2014,2014,ha,3210.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,156,Sugar cane,2014,2014,tonnes,75082.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,267,Sunflower seed,2014,2014,ha,1800.0,F,FAO estimate
QC,Crops,2,Afghanistan,5510,Production,267,Sunflower seed,2014,2014,tonnes,2700.0,F,FAO estimate
QC,Crops,2,Afghanistan,5312,Area harvested,463,"Vegetables, fresh nes",2014,2014,ha,63611.0,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5510,Production,463,"Vegetables, fresh nes",2014,2014,tonnes,584335.0,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5312,Area harvested,222,"Walnuts, with shell",2014,2014,ha,2317.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,222,"Walnuts, with shell",2014,2014,tonnes,10426.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,567,Watermelons,2014,2014,ha,19835.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,567,Watermelons,2014,2014,tonnes,301409.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,15,Wheat,2014,2014,ha,2653746.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,15,Wheat,2014,2014,tonnes,5370259.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,515,Apples,2014,2014,ha,3863.0,,Official data
QC,Crops,3,Albania,5510,Production,515,Apples,2014,2014,tonnes,82060.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,526,Apricots,2014,2014,ha,320.0,,Official data
QC,Crops,3,Albania,5510,Production,526,Apricots,2014,2014,tonnes,4140.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,44,Barley,2014,2014,ha,2703.0,,Official data
QC,Crops,3,Albania,5510,Production,44,Barley,2014,2014,tonnes,7300.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,176,"Beans, dry",2014,2014,ha,14600.0,,Official data
QC,Crops,3,Albania,5510,Production,176,"Beans, dry",2014,2014,tonnes,30000.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,414,"Beans, green",2014,2014,ha,885.0,,Official data
QC,Crops,3,Albania,5510,Production,414,"Beans, green",2014,2014,tonnes,11130.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,181,"Broad beans, horse beans, dry",2014,2014,ha,163.0,Im,FAO data based on imputation methodology
QC,Crops,3,Albania,5510,Production,181,"Broad beans, horse beans, dry",2014,2014,tonnes,206.0,Im,FAO data based on imputation methodology
QC,Crops,3,Albania,5312,Area harvested,358,Cabbages and other brassicas,2014,2014,ha,1457.0,,Official data
QC,Crops,3,Albania,5510,Production,358,Cabbages and other brassicas,2014,2014,tonnes,34570.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,426,Carrots and turnips,2014,2014,ha,287.0,,Official data
QC,Crops,3,Albania,5510,Production,426,Carrots and turnips,2014,2014,tonnes,5690.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,393,Cauliflowers and broccoli,2014,2014,ha,160.0,,Official data
QC,Crops,3,Albania,5510,Production,393,Cauliflowers and broccoli,2014,2014,tonnes,3460.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,531,Cherries,2014,2014,ha,1877.0,,Official data
QC,Crops,3,Albania,5510,Production,531,Cherries,2014,2014,tonnes,17730.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,530,"Cherries, sour",2014,2014,ha,3000.0,F,FAO estimate
QC,Crops,3,Albania,5510,Production,530,"Cherries, sour",2014,2014,tonnes,17000.0,F,FAO estimate
QC,Crops,3,Albania,5312,Area harvested,220,Chestnut,2014,2014,ha,3014.0,,Official data
QC,Crops,3,Albania,5510,Production,220,Chestnut,2014,2014,tonnes,6590.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,401,"Chillies and peppers, green",2014,2014,ha,2987.0,,Official data
QC,Crops,3,Albania,5510,Production,401,"Chillies and peppers, green",2014,2014,tonnes,68970.0,,Official data
QC,Crops,3,Albania,5510,Production,767,Cotton lint,2014,2014,tonnes,230.0,F,FAO estimate
QC,Crops,3,Albania,5510,Production,329,Cottonseed,2014,2014,tonnes,540.0,F,FAO estimate
QC,Crops,3,Albania,5312,Area harvested,397,Cucumbers and gherkins,2014,2014,ha,2279.0,,Official data
QC,Crops,3,Albania,5510,Production,397,Cucumbers and gherkins,2014,2014,tonnes,79930.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,577,Dates,2014,2014,ha,465.0,,Official data
QC,Crops,3,Albania,5510,Production,577,Dates,2014,2014,tonnes,12180.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,399,Eggplants (aubergines),2014,2014,ha,1117.0,,Official data
QC,Crops,3,Albania,5510,Production,399,Eggplants (aubergines),2014,2014,tonnes,28200.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,569,Figs,2014,2014,ha,1543.0,,Official data
QC,Crops,3,Albania,5510,Production,569,Figs,2014,2014,tonnes,19350.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,512,"Fruit, citrus nes",2014,2014,ha,12.0,,Official data
QC,Crops,3,Albania,5510,Production,512,"Fruit, citrus nes",2014,2014,tonnes,41.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,619,"Fruit, fresh nes",2014,2014,ha,268.0,,Official data
QC,Crops,3,Albania,5510,Production,619,"Fruit, fresh nes",2014,2014,tonnes,10058.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,406,Garlic,2014,2014,ha,615.0,,Official data
QC,Crops,3,Albania,5510,Production,406,Garlic,2014,2014,tonnes,8240.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,560,Grapes,2014,2014,ha,9625.0,,Official data
QC,Crops,3,Albania,5510,Production,560,Grapes,2014,2014,tonnes,203700.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,677,Hops,2014,2014,ha,2252.0,Im,FAO data based on imputation methodology
QC,Crops,3,Albania,5510,Production,677,Hops,2014,2014,tonnes,1700.0,F,FAO estimate
QC,Crops,3,Albania,5312,Area harvested,407,"Leeks, other alliaceous vegetables",2014,2014,ha,1471.0,,Official data
QC,Crops,3,Albania,5510,Production,407,"Leeks, other alliaceous vegetables",2014,2014,tonnes,29900.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,497,Lemons and limes,2014,2014,ha,350.0,,Official data
QC,Crops,3,Albania,5510,Production,497,Lemons and limes,2014,2014,tonnes,2933.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,372,Lettuce and chicory,2014,2014,ha,1017.0,,Official data
QC,Crops,3,Albania,5510,Production,372,Lettuce and chicory,2014,2014,tonnes,11810.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,56,Maize,2014,2014,ha,55000.0,,Official data
QC,Crops,3,Albania,5510,Production,56,Maize,2014,2014,tonnes,380000.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,568,"Melons, other (inc.cantaloupes)",2014,2014,ha,1569.0,,Official data
QC,Crops,3,Albania,5510,Production,568,"Melons, other (inc.cantaloupes)",2014,2014,tonnes,42460.0,,Official data
QC,Crops,3,Albania,5510,Production,449,Mushrooms and truffles,2014,2014,tonnes,100.0,Im,FAO data based on imputation methodology
QC,Crops,3,Albania,5312,Area harvested,234,"Nuts, nes",2014,2014,ha,614.0,,Official data
QC,Crops,3,Albania,5510,Production,234,"Nuts, nes",2014,2014,tonnes,1856.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,75,Oats,2014,2014,ha,14073.0,,Official data
QC,Crops,3,Albania,5510,Production,75,Oats,2014,2014,tonnes,30000.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,430,Okra,2014,2014,ha,723.0,Im,FAO data based on imputation methodology
QC,Crops,3,Albania,5510,Production,430,Okra,2014,2014,tonnes,9149.0,Im,FAO data based on imputation methodology
QC,Crops,3,Albania,5312,Area harvested,260,Olives,2014,2014,ha,39964.0,,Official data
QC,Crops,3,Albania,5510,Production,260,Olives,2014,2014,tonnes,98000.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,403,"Onions, dry",2014,2014,ha,5599.0,,Official data
QC,Crops,3,Albania,5510,Production,403,"Onions, dry",2014,2014,tonnes,94300.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,402,"Onions, shallots, green",2014,2014,ha,1541.0,,Official data
QC,Crops,3,Albania,5510,Production,402,"Onions, shallots, green",2014,2014,tonnes,26770.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,490,Oranges,2014,2014,ha,222.0,,Official data
QC,Crops,3,Albania,5510,Production,490,Oranges,2014,2014,tonnes,4120.0,,Official data
QC,Crops,3,Albania,5312,Area harvested,534,Peaches and nectarines,2014,2014,ha,1064.0,,Official data
QC,Crops,3,Albania,5510,Production,534,Peaches and nectarines,2014,2014,tonnes,14420.0,,Official data
